season,league,team,player,nationality,position,age,minutes,minutes_90s,goals,assists,goals_assists,goals_per90,assists_per90,goals_assists_per90,xg,xg_assist,npxg,shots,shots_on_target
2018-2019,Serie A,Napoli,Lorenzo Insigne,ITA,"FW,MF",27.0,2073.0,23.0,10.0,6.0,16.0,0.43,0.26,0.69,9.9,4.7,8.3,118.0,36.0
2018-2019,Bundesliga,Bayern Munich,Franck Ribéry,FRA,"MF,FW",35.0,1174.0,13.0,6.0,3.0,9.0,0.46,0.23,0.69,3.9,2.2,3.9,26.0,11.0
2018-2019,Ligue 1,Lille,Loïc Rémy,FRA,FW,31.0,1204.0,13.4,7.0,2.0,9.0,0.52,0.15,0.67,6.4,0.7,4.9,32.0,14.0
2018-2019,Serie A,Roma,Diego Perotti,ARG,"FW,MF",30.0,668.0,7.4,5.0,0.0,5.0,0.67,0.0,0.67,3.6,2.4,1.2,13.0,6.0
2018-2019,Premier League,Liverpool,Sadio Mané,SEN,FW,26.0,3077.0,34.2,22.0,1.0,23.0,0.64,0.03,0.67,15.1,4.5,15.1,87.0,42.0
2018-2019,Premier League,Manchester Utd,Anthony Martial,FRA,FW,22.0,1621.0,18.0,10.0,2.0,12.0,0.56,0.11,0.67,6.2,2.9,5.4,38.0,22.0
2018-2019,Premier League,Wolves,Léo Bonatini,BRA,FW,24.0,135.0,1.5,0.0,1.0,1.0,0.0,0.67,0.67,1.3,0.1,1.3,9.0,1.0
2018-2019,Ligue 1,Reims,Arber Zeneli,KVX,FW,23.0,810.0,9.0,3.0,3.0,6.0,0.33,0.33,0.67,3.1,2.1,1.6,24.0,6.0
2018-2019,Serie A,Juventus,Mario Mandžukić,CRO,FW,32.0,2014.0,22.4,9.0,6.0,15.0,0.4,0.27,0.67,6.4,3.7,6.4,31.0,17.0
2018-2019,Serie A,Sampdoria,Manolo Gabbiadini,ITA,FW,26.0,812.0,9.0,4.0,2.0,6.0,0.44,0.22,0.67,2.0,1.2,2.0,30.0,12.0
2018-2019,Ligue 1,Lyon,Memphis,NED,"FW,MF",24.0,2737.0,30.4,10.0,10.0,20.0,0.33,0.33,0.66,14.3,10.7,12.7,108.0,38.0
2018-2019,Bundesliga,RB Leipzig,Yussuf Poulsen,DEN,FW,24.0,2451.0,27.2,15.0,3.0,18.0,0.55,0.11,0.66,12.0,4.2,11.7,65.0,27.0
2018-2019,Serie A,Lazio,Ciro Immobile,ITA,FW,28.0,2859.0,31.8,15.0,6.0,21.0,0.47,0.19,0.66,15.9,6.0,12.7,120.0,45.0
2018-2019,Bundesliga,M'Gladbach,Thorgan Hazard,BEL,"FW,MF",25.0,2873.0,31.9,10.0,11.0,21.0,0.31,0.34,0.66,9.8,8.9,5.9,70.0,22.0
2018-2019,Serie A,Lazio,Felipe Caicedo,ECU,FW,29.0,1371.0,15.2,8.0,2.0,10.0,0.53,0.13,0.66,8.2,1.2,7.4,41.0,14.0
2018-2019,La Liga,Getafe,Jorge Molina,ESP,FW,36.0,2648.0,29.4,14.0,5.0,19.0,0.48,0.17,0.65,11.5,6.6,9.9,55.0,21.0
2018-2019,Premier League,Tottenham,Fernando Llorente,ESP,FW,33.0,694.0,7.7,1.0,4.0,5.0,0.13,0.52,0.65,3.4,1.6,3.4,24.0,5.0
2018-2019,La Liga,Leganés,Michael Santos,URU,"FW,MF",25.0,557.0,6.2,1.0,3.0,4.0,0.16,0.48,0.65,2.1,0.6,2.1,18.0,5.0
2018-2019,Bundesliga,Stuttgart,Anastasios Donis,GRE,"FW,MF",21.0,962.0,10.7,5.0,2.0,7.0,0.47,0.19,0.65,2.9,1.0,2.9,30.0,10.0
2018-2019,Bundesliga,Bayern Munich,Kingsley Coman,FRA,"FW,MF",22.0,1378.0,15.3,6.0,4.0,10.0,0.39,0.26,0.65,4.0,4.0,4.0,31.0,19.0
2018-2019,Serie A,Roma,Cengiz Ünder,TUR,FW,21.0,1375.0,15.3,3.0,7.0,10.0,0.2,0.46,0.65,2.4,3.9,2.4,39.0,12.0
2018-2019,Serie A,Udinese,Stefano Okaka,ITA,FW,28.0,970.0,10.8,6.0,1.0,7.0,0.56,0.09,0.65,2.6,0.9,2.6,18.0,8.0
2018-2019,Premier League,Watford,Gerard Deulofeu,ESP,"FW,MF",24.0,2066.0,23.0,10.0,5.0,15.0,0.44,0.22,0.65,8.0,4.1,8.0,60.0,22.0
2018-2019,La Liga,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",27.0,3198.0,35.5,15.0,8.0,23.0,0.42,0.23,0.65,13.9,7.7,11.6,110.0,42.0
2018-2019,Bundesliga,Werder Bremen,Martin Harnik,AUT,"FW,MF",31.0,828.0,9.2,4.0,2.0,6.0,0.43,0.22,0.65,5.8,1.7,5.8,28.0,17.0
2018-2019,Premier League,Chelsea,Olivier Giroud,FRA,FW,31.0,847.0,9.4,2.0,4.0,6.0,0.21,0.43,0.64,4.6,2.2,4.6,32.0,10.0
2018-2019,Bundesliga,Werder Bremen,Max Kruse,GER,"FW,MF",30.0,2832.0,31.5,11.0,9.0,20.0,0.35,0.29,0.64,10.3,6.2,8.0,88.0,37.0
2018-2019,La Liga,Girona,Cristhian Stuani,URU,FW,31.0,2729.0,30.3,19.0,0.0,19.0,0.63,0.0,0.63,14.1,1.0,10.4,72.0,34.0
2018-2019,Bundesliga,Augsburg,Marco Richter,GER,"MF,FW",20.0,1426.0,15.8,4.0,6.0,10.0,0.25,0.38,0.63,3.5,2.9,3.5,55.0,23.0
2018-2019,Premier League,West Ham,Marko Arnautović,AUT,FW,29.0,1990.0,22.1,10.0,4.0,14.0,0.45,0.18,0.63,8.9,4.4,8.1,61.0,31.0
2018-2019,Bundesliga,Düsseldorf,Dawid Kownacki,POL,"MF,FW",21.0,575.0,6.4,4.0,0.0,4.0,0.63,0.0,0.63,1.6,0.4,1.6,13.0,5.0
2018-2019,Bundesliga,Bayern Munich,Arjen Robben,NED,"FW,MF",34.0,567.0,6.3,4.0,0.0,4.0,0.63,0.0,0.63,3.4,1.9,3.4,22.0,12.0
2018-2019,Premier League,Liverpool,Roberto Firmino,BRA,"FW,MF",26.0,2607.0,29.0,12.0,6.0,18.0,0.41,0.21,0.62,13.6,5.5,12.8,74.0,32.0
2018-2019,Bundesliga,Leverkusen,Kai Havertz,GER,"MF,FW",19.0,2894.0,32.2,17.0,3.0,20.0,0.53,0.09,0.62,12.1,3.0,9.7,84.0,39.0
2018-2019,Premier League,Manchester Utd,Marcus Rashford,ENG,FW,20.0,2334.0,25.9,10.0,6.0,16.0,0.39,0.23,0.62,10.7,5.0,10.7,84.0,39.0
2018-2019,La Liga,Levante,Roger Martí,ESP,FW,27.0,1887.0,21.0,13.0,0.0,13.0,0.62,0.0,0.62,12.8,1.0,11.3,69.0,28.0
2018-2019,Premier League,Newcastle Utd,Salomón Rondón,VEN,FW,28.0,2603.0,28.9,11.0,7.0,18.0,0.38,0.24,0.62,10.4,3.0,10.4,89.0,27.0
2018-2019,Ligue 1,Saint-Étienne,Wahbi Khazri,TUN,"FW,MF",27.0,2817.0,31.3,13.0,6.0,19.0,0.42,0.19,0.61,12.4,6.9,9.2,90.0,32.0
2018-2019,Bundesliga,Freiburg,Nils Petersen,GER,FW,29.0,1929.0,21.4,10.0,3.0,13.0,0.47,0.14,0.61,7.2,1.8,5.6,47.0,21.0
2018-2019,La Liga,Real Sociedad,Willian José,BRA,FW,26.0,2367.0,26.3,11.0,5.0,16.0,0.42,0.19,0.61,11.7,3.7,6.5,48.0,19.0
2018-2019,Bundesliga,Leverkusen,Julian Brandt,GER,"MF,FW",22.0,2666.0,29.6,7.0,11.0,18.0,0.24,0.37,0.61,8.0,9.3,8.0,65.0,25.0
2018-2019,Ligue 1,Montpellier,Andy Delort,ALG,FW,26.0,3115.0,34.6,14.0,7.0,21.0,0.4,0.2,0.61,15.2,8.3,12.8,116.0,33.0
2018-2019,Serie A,Roma,Stephan El Shaarawy,ITA,"FW,MF",25.0,2104.0,23.4,11.0,3.0,14.0,0.47,0.13,0.6,7.6,5.0,7.6,70.0,30.0
2018-2019,Serie A,Empoli,Diego Farias,BRA,FW,28.0,1193.0,13.3,4.0,4.0,8.0,0.3,0.3,0.6,4.9,3.2,4.9,36.0,16.0
2018-2019,Ligue 1,Monaco,Radamel Falcao,COL,FW,32.0,2557.0,28.4,15.0,2.0,17.0,0.53,0.07,0.6,15.2,2.0,12.0,90.0,37.0
2018-2019,La Liga,Real Madrid,Mariano,DOM,FW,24.0,447.0,5.0,3.0,0.0,3.0,0.6,0.0,0.6,2.6,1.0,2.6,23.0,8.0
2018-2019,Premier League,Bournemouth,Ryan Fraser,SCO,"MF,FW",24.0,3166.0,35.2,7.0,14.0,21.0,0.2,0.4,0.6,4.7,13.4,4.7,51.0,25.0
2018-2019,Serie A,Bologna,Riccardo Orsolini,ITA,"FW,MF",21.0,1964.0,21.8,8.0,5.0,13.0,0.37,0.23,0.6,5.1,2.8,5.1,65.0,30.0
