season,league,team,player,nationality,position,age,minutes,minutes_90s,goals,assists,goals_assists,goals_per90,assists_per90,goals_assists_per90,xg,xg_assist,npxg,shots,shots_on_target
2018-2019,La Liga,Barcelona,Malcom,BRA,"FW,MF",21.0,614.0,6.8,1.0,2.0,3.0,0.15,0.29,0.44,1.4,1.7,1.4,11.0,6.0
2018-2019,Premier League,Crystal Palace,Wilfried Zaha,CIV,FW,25.0,3036.0,33.7,10.0,5.0,15.0,0.3,0.15,0.44,5.7,4.8,5.7,73.0,27.0
2018-2019,Serie A,Napoli,José Callejón,ESP,"MF,FW",31.0,2650.0,29.4,3.0,10.0,13.0,0.1,0.34,0.44,5.7,8.3,5.7,61.0,16.0
2018-2019,Serie A,Empoli,Levan Mchedlidze,GEO,FW,28.0,208.0,2.3,0.0,1.0,1.0,0.0,0.43,0.43,0.2,0.1,0.2,4.0,1.0
2018-2019,Ligue 1,Nantes,Valentin Eysseric,FRA,"MF,FW",26.0,209.0,2.3,1.0,0.0,1.0,0.43,0.0,0.43,1.9,0.3,0.4,4.0,0.0
2018-2019,Ligue 1,Amiens,Moussa Konaté,SEN,FW,25.0,1876.0,20.8,7.0,2.0,9.0,0.34,0.1,0.43,8.3,2.3,6.0,45.0,14.0
2018-2019,Ligue 1,Reims,Mathieu Cafaro,FRA,"FW,MF",21.0,2095.0,23.3,7.0,3.0,10.0,0.3,0.13,0.43,3.6,2.9,3.6,70.0,22.0
2018-2019,La Liga,Espanyol,Facundo Ferreyra,ARG,FW,27.0,211.0,2.3,1.0,0.0,1.0,0.43,0.0,0.43,0.5,0.0,0.5,3.0,1.0
2018-2019,Premier League,West Ham,Michail Antonio,JAM,"MF,FW",28.0,2103.0,23.4,6.0,4.0,10.0,0.26,0.17,0.43,7.1,4.4,7.1,65.0,25.0
2018-2019,Premier League,Newcastle Utd,Ayoze Pérez,ESP,"MF,FW",25.0,2917.0,32.4,12.0,2.0,14.0,0.37,0.06,0.43,7.5,3.6,7.5,55.0,27.0
2018-2019,La Liga,Real Sociedad,Mikel Oyarzabal,ESP,"FW,MF",21.0,3153.0,35.0,13.0,2.0,15.0,0.37,0.06,0.43,11.1,5.0,8.8,63.0,25.0
2018-2019,La Liga,Alavés,John Guidetti,SWE,FW,26.0,631.0,7.0,2.0,1.0,3.0,0.29,0.14,0.43,1.4,1.0,1.4,10.0,5.0
2018-2019,La Liga,Rayo Vallecano,Adri Embarba,ESP,"MF,FW",26.0,2282.0,25.4,5.0,6.0,11.0,0.2,0.24,0.43,6.7,7.4,4.3,46.0,14.0
2018-2019,Premier League,Burnley,Chris Wood,NZL,FW,26.0,2588.0,28.8,10.0,2.0,12.0,0.35,0.07,0.42,8.8,3.8,8.8,59.0,23.0
2018-2019,Premier League,Tottenham,Lucas Moura,BRA,"FW,MF",25.0,2121.0,23.6,10.0,0.0,10.0,0.42,0.0,0.42,6.3,1.5,6.3,45.0,19.0
2018-2019,Bundesliga,Schalke 04,Ahmed Kutucu,TUR,"FW,MF",18.0,425.0,4.7,2.0,0.0,2.0,0.42,0.0,0.42,1.4,0.1,1.4,13.0,7.0
2018-2019,Serie A,Genoa,Stefano Sturaro,ITA,"MF,FW",25.0,213.0,2.4,1.0,0.0,1.0,0.42,0.0,0.42,0.1,0.3,0.1,4.0,2.0
2018-2019,Premier League,Southampton,Shane Long,IRL,"FW,MF",31.0,1272.0,14.1,5.0,1.0,6.0,0.35,0.07,0.42,4.6,1.6,4.6,30.0,10.0
2018-2019,Bundesliga,M'Gladbach,Patrick Herrmann,GER,"FW,DF",27.0,1079.0,12.0,3.0,2.0,5.0,0.25,0.17,0.42,1.5,3.0,1.5,19.0,4.0
2018-2019,Ligue 1,Bordeaux,Nicolas de Préville,FRA,"FW,MF",27.0,1271.0,14.1,3.0,3.0,6.0,0.21,0.21,0.42,2.3,3.8,2.3,32.0,11.0
2018-2019,Bundesliga,Hertha BSC,Davie Selke,GER,FW,23.0,1739.0,19.3,3.0,5.0,8.0,0.16,0.26,0.41,5.2,3.4,5.2,44.0,19.0
2018-2019,Ligue 1,Strasbourg,Kenny Lala,FRA,"DF,FW",26.0,3060.0,34.0,5.0,9.0,14.0,0.15,0.26,0.41,3.1,4.8,1.3,21.0,8.0
2018-2019,Premier League,Huddersfield,Karlan Grant,ENG,FW,20.0,877.0,9.7,4.0,0.0,4.0,0.41,0.0,0.41,3.6,0.3,3.6,21.0,11.0
2018-2019,Ligue 1,Marseille,Valère Germain,FRA,FW,28.0,2170.0,24.1,8.0,2.0,10.0,0.33,0.08,0.41,4.8,3.2,4.8,53.0,19.0
2018-2019,Bundesliga,Mainz 05,Robin Quaison,SWE,"FW,MF",24.0,2194.0,24.4,7.0,3.0,10.0,0.29,0.12,0.41,8.5,2.1,8.5,50.0,17.0
2018-2019,Bundesliga,Wolfsburg,Felix Klaus,GER,"FW,MF",25.0,443.0,4.9,1.0,1.0,2.0,0.2,0.2,0.41,1.9,2.2,1.9,16.0,6.0
2018-2019,La Liga,Real Sociedad,Juanmi,ESP,"FW,MF",25.0,1523.0,16.9,5.0,2.0,7.0,0.3,0.12,0.41,6.6,1.5,6.6,43.0,20.0
2018-2019,Premier League,Arsenal,Alex Iwobi,NGA,"FW,MF",22.0,1970.0,21.9,3.0,6.0,9.0,0.14,0.27,0.41,3.5,7.0,3.5,35.0,14.0
2018-2019,Ligue 1,Saint-Étienne,Yannis Salibur,FRA,"FW,MF",27.0,885.0,9.8,1.0,3.0,4.0,0.1,0.31,0.41,2.1,2.6,2.1,34.0,4.0
2018-2019,Premier League,Chelsea,Gonzalo Higuaín,ARG,FW,30.0,1085.0,12.1,5.0,0.0,5.0,0.41,0.0,0.41,4.9,1.3,4.9,46.0,14.0
2018-2019,La Liga,Levante,Raphael Dwamena,GHA,FW,22.0,222.0,2.5,0.0,1.0,1.0,0.0,0.41,0.41,0.7,0.5,0.7,4.0,2.0
2018-2019,Serie A,Lazio,Luis Alberto,ESP,"MF,FW",25.0,1990.0,22.1,4.0,5.0,9.0,0.18,0.23,0.41,4.2,5.9,3.4,67.0,12.0
2018-2019,Serie A,Parma,Roberto Inglese,ITA,FW,26.0,1965.0,21.8,9.0,0.0,9.0,0.41,0.0,0.41,8.2,1.5,6.7,45.0,19.0
2018-2019,Premier League,Manchester Utd,Alexis Sánchez,CHI,"FW,MF",29.0,880.0,9.8,1.0,3.0,4.0,0.1,0.31,0.41,1.5,3.0,1.5,17.0,9.0
2018-2019,Ligue 1,Rennes,Benjamin Bourigeaud,FRA,"MF,FW",24.0,2425.0,26.9,6.0,5.0,11.0,0.22,0.19,0.41,6.5,2.4,4.2,44.0,14.0
2018-2019,Ligue 1,Strasbourg,Benjamin Corgnet,FRA,"MF,FW",31.0,671.0,7.5,1.0,2.0,3.0,0.13,0.27,0.4,1.6,1.0,1.6,19.0,8.0
2018-2019,Ligue 1,Rennes,Hatem Ben Arfa,FRA,"FW,MF",31.0,2033.0,22.6,7.0,2.0,9.0,0.31,0.09,0.4,7.0,4.7,4.6,51.0,13.0
2018-2019,Bundesliga,Werder Bremen,Johannes Eggestein,GER,"FW,MF",20.0,1113.0,12.4,4.0,1.0,5.0,0.32,0.08,0.4,4.6,1.8,4.6,34.0,12.0
2018-2019,Bundesliga,Schalke 04,Breel Embolo,SUI,FW,21.0,1345.0,14.9,5.0,1.0,6.0,0.33,0.07,0.4,4.2,2.9,4.2,26.0,13.0
2018-2019,Serie A,Frosinone,Camillo Ciano,ITA,"FW,MF",28.0,2454.0,27.3,7.0,4.0,11.0,0.26,0.15,0.4,6.9,7.0,4.6,74.0,21.0
2018-2019,Premier League,Everton,Dominic Calvert-Lewin,ENG,FW,21.0,1784.0,19.8,6.0,2.0,8.0,0.3,0.1,0.4,5.5,1.4,5.5,52.0,16.0
2018-2019,Ligue 1,Marseille,Lucas Ocampos,ARG,"FW,MF",24.0,2708.0,30.1,4.0,8.0,12.0,0.13,0.27,0.4,5.7,3.4,5.7,62.0,23.0
2018-2019,Ligue 1,Paris S-G,Christopher Nkunku,FRA,"MF,FW",20.0,1156.0,12.8,3.0,2.0,5.0,0.23,0.16,0.39,2.6,3.1,2.6,23.0,5.0
2018-2019,Premier League,Chelsea,Willian,BRA,FW,29.0,2097.0,23.3,3.0,6.0,9.0,0.13,0.26,0.39,4.2,5.4,4.2,62.0,22.0
2018-2019,Serie A,Cagliari,Diego Farias,BRA,FW,28.0,700.0,7.8,3.0,0.0,3.0,0.39,0.0,0.39,2.6,0.3,2.6,23.0,11.0
2018-2019,La Liga,Valencia,Kévin Gameiro,FRA,FW,31.0,1612.0,17.9,6.0,1.0,7.0,0.33,0.06,0.39,8.8,3.7,8.8,36.0,15.0
2018-2019,Premier League,Brighton,Anthony Knockaert,FRA,"MF,FW",26.0,1837.0,20.4,2.0,6.0,8.0,0.1,0.29,0.39,2.1,3.6,2.1,27.0,9.0
2018-2019,Premier League,Fulham,Aboubakar Kamara,MTN,FW,23.0,693.0,7.7,3.0,0.0,3.0,0.39,0.0,0.39,3.7,0.7,2.1,19.0,8.0
2018-2019,Ligue 1,Lille,Jonathan Ikone,FRA,"MF,FW",20.0,2796.0,31.1,3.0,9.0,12.0,0.1,0.29,0.39,5.1,6.2,5.1,51.0,17.0
2018-2019,Ligue 1,Bordeaux,François Kamano,GUI,"FW,MF",22.0,2561.0,28.5,10.0,1.0,11.0,0.35,0.04,0.39,9.8,3.1,6.5,78.0,29.0
2018-2019,Ligue 1,Monaco,Gelson Martins,POR,"FW,MF",23.0,1389.0,15.4,4.0,2.0,6.0,0.26,0.13,0.39,3.3,2.3,3.3,30.0,16.0
2018-2019,Bundesliga,Hertha BSC,Salomon Kalou,CIV,"FW,MF",32.0,2317.0,25.7,8.0,2.0,10.0,0.31,0.08,0.39,10.1,5.1,7.7,44.0,14.0
2018-2019,Serie A,Empoli,Miha Zajc,SVN,"MF,FW",24.0,1166.0,13.0,3.0,2.0,5.0,0.23,0.15,0.39,4.5,3.0,4.5,55.0,13.0
2018-2019,Ligue 1,Amiens,Saman Ghoddos,IRN,"FW,MF",24.0,1827.0,20.3,4.0,4.0,8.0,0.2,0.2,0.39,2.6,2.6,2.6,43.0,18.0
2018-2019,Serie A,Inter,Matteo Politano,ITA,FW,24.0,2549.0,28.3,5.0,6.0,11.0,0.18,0.21,0.39,4.6,5.6,4.6,79.0,23.0
2018-2019,Serie A,Frosinone,Daniel Ciofani,ITA,FW,33.0,1618.0,18.0,5.0,2.0,7.0,0.28,0.11,0.39,5.9,1.7,4.3,51.0,18.0
2018-2019,Bundesliga,Düsseldorf,Kenan Karaman,TUR,"FW,MF",24.0,919.0,10.2,3.0,1.0,4.0,0.29,0.1,0.39,3.4,2.1,3.4,21.0,8.0
2018-2019,Premier League,West Ham,Andriy Yarmolenko,UKR,"MF,FW",28.0,459.0,5.1,2.0,0.0,2.0,0.39,0.0,0.39,1.1,0.8,1.1,9.0,3.0
2018-2019,La Liga,Rayo Vallecano,Javi Guerra,ESP,"FW,MF",36.0,236.0,2.6,0.0,1.0,1.0,0.0,0.38,0.38,0.8,0.6,0.8,7.0,0.0
2018-2019,Ligue 1,Amiens,Rafał Kurzawa,POL,FW,25.0,239.0,2.7,1.0,0.0,1.0,0.38,0.0,0.38,0.4,0.2,0.4,2.0,1.0
2018-2019,La Liga,Real Madrid,Isco,ESP,"MF,FW",26.0,1192.0,13.2,3.0,2.0,5.0,0.23,0.15,0.38,5.1,2.8,5.1,25.0,7.0
2018-2019,Premier League,Fulham,Aleksandar Mitrović,SRB,FW,23.0,3280.0,36.4,11.0,3.0,14.0,0.3,0.08,0.38,14.1,3.2,13.3,130.0,46.0
2018-2019,Ligue 1,Lyon,Bertrand Traoré,BFA,FW,22.0,2117.0,23.5,7.0,2.0,9.0,0.3,0.09,0.38,6.0,2.6,6.0,66.0,28.0
2018-2019,Bundesliga,Wolfsburg,Josip Brekalo,CRO,"FW,MF",20.0,1415.0,15.7,3.0,3.0,6.0,0.19,0.19,0.38,2.3,1.4,2.3,26.0,13.0
2018-2019,La Liga,Valladolid,Enes Ünal,TUR,FW,21.0,2148.0,23.9,6.0,3.0,9.0,0.25,0.13,0.38,7.9,1.5,5.6,50.0,13.0
2018-2019,Serie A,Sassuolo,Domenico Berardi,ITA,"FW,MF",23.0,2875.0,31.9,8.0,4.0,12.0,0.25,0.13,0.38,8.9,4.5,8.1,125.0,30.0
2018-2019,Serie A,Atalanta,Matteo Pessina,ITA,"MF,FW",21.0,235.0,2.6,0.0,1.0,1.0,0.0,0.38,0.38,0.1,0.1,0.1,3.0,1.0
2018-2019,La Liga,Sevilla,André Silva,POR,FW,22.0,2159.0,24.0,9.0,0.0,9.0,0.38,0.0,0.38,10.3,4.3,10.3,63.0,26.0
2018-2019,Serie A,Juventus,Paulo Dybala,ARG,"FW,MF",24.0,2137.0,23.7,5.0,4.0,9.0,0.21,0.17,0.38,5.0,3.8,4.2,63.0,20.0
2018-2019,La Liga,Celta Vigo,Ryad Boudebouz,ALG,"MF,FW",28.0,717.0,8.0,1.0,2.0,3.0,0.13,0.25,0.38,1.5,2.5,1.5,11.0,5.0
2018-2019,La Liga,Alavés,Borja Bastón,ESP,FW,25.0,1439.0,16.0,5.0,1.0,6.0,0.31,0.06,0.38,6.2,1.3,6.2,33.0,9.0
2018-2019,La Liga,Eibar,Sergi Enrich,ESP,FW,28.0,2582.0,28.7,7.0,4.0,11.0,0.24,0.14,0.38,10.9,2.7,10.9,67.0,16.0
2018-2019,Premier League,Leicester City,Kelechi Iheanacho,NGA,"FW,MF",21.0,941.0,10.5,1.0,3.0,4.0,0.1,0.29,0.38,2.1,1.6,2.1,18.0,6.0
2018-2019,La Liga,Athletic Club,Iker Muniain,ESP,"MF,FW",25.0,2383.0,26.5,7.0,3.0,10.0,0.26,0.11,0.38,7.1,3.3,6.3,24.0,11.0
2018-2019,Bundesliga,Stuttgart,Daniel Didavi,GER,"MF,FW",28.0,956.0,10.6,2.0,2.0,4.0,0.19,0.19,0.38,1.9,2.7,1.9,24.0,9.0
2018-2019,Premier League,West Ham,Felipe Anderson,BRA,"MF,FW",25.0,3043.0,33.8,9.0,4.0,13.0,0.27,0.12,0.38,5.5,6.1,5.5,58.0,24.0
2018-2019,Ligue 1,Angers,Wilfried Kanga,CIV,FW,20.0,493.0,5.5,2.0,0.0,2.0,0.37,0.0,0.37,2.2,0.2,2.2,17.0,8.0
2018-2019,Bundesliga,Nürnberg,Matheus Pereira,POR,"MF,FW",22.0,1232.0,13.7,3.0,2.0,5.0,0.22,0.15,0.37,2.3,1.4,2.3,29.0,10.0
2018-2019,Serie A,SPAL,Sergio Floccari,ITA,FW,36.0,976.0,10.8,3.0,1.0,4.0,0.28,0.09,0.37,2.2,0.3,2.2,24.0,8.0
2018-2019,La Liga,Villarreal,Samuel Chukwueze,NGA,"MF,FW",19.0,1706.0,19.0,5.0,2.0,7.0,0.26,0.11,0.37,5.2,1.5,5.2,58.0,23.0
2018-2019,Bundesliga,Stuttgart,Mario Gómez,GER,FW,33.0,2211.0,24.6,7.0,2.0,9.0,0.28,0.08,0.37,9.3,2.7,9.3,53.0,21.0
2018-2019,La Liga,Alavés,Rubén Sobrino,ESP,"FW,MF",26.0,965.0,10.7,3.0,1.0,4.0,0.28,0.09,0.37,1.9,1.2,1.9,20.0,6.0
2018-2019,La Liga,Leganés,Nabil El Zhar,MAR,"MF,FW",31.0,966.0,10.7,4.0,0.0,4.0,0.37,0.0,0.37,2.9,0.9,2.1,25.0,8.0
2018-2019,Serie A,Fiorentina,Luis Muriel,COL,FW,27.0,1441.0,16.0,6.0,0.0,6.0,0.37,0.0,0.37,3.5,1.5,3.5,46.0,15.0
2018-2019,Serie A,Inter,Ivan Perišić,CRO,FW,29.0,2701.0,30.0,8.0,3.0,11.0,0.27,0.1,0.37,9.8,6.8,8.2,96.0,27.0
2018-2019,Bundesliga,Hannover 96,Hendrik Weydandt,GER,FW,23.0,1723.0,19.1,6.0,1.0,7.0,0.31,0.05,0.37,8.0,4.5,8.0,62.0,20.0
2018-2019,Premier League,Southampton,Charlie Austin,ENG,FW,29.0,983.0,10.9,2.0,2.0,4.0,0.18,0.18,0.37,3.6,0.9,3.3,31.0,7.0
2018-2019,Bundesliga,Wolfsburg,Renato Steffen,SUI,"FW,MF",26.0,1503.0,16.7,5.0,1.0,6.0,0.3,0.06,0.36,3.1,1.8,3.1,27.0,8.0
2018-2019,Ligue 1,Angers,Flavien Tait,FRA,"MF,FW",25.0,2985.0,33.2,5.0,7.0,12.0,0.15,0.21,0.36,7.0,9.3,6.1,84.0,37.0
2018-2019,Ligue 1,Nîmes,Renaud Ripart,FRA,"FW,DF",25.0,3006.0,33.4,8.0,4.0,12.0,0.24,0.12,0.36,6.8,3.7,6.8,68.0,23.0
2018-2019,Ligue 1,Bordeaux,Jimmy Briand,FRA,FW,32.0,2495.0,27.7,7.0,3.0,10.0,0.25,0.11,0.36,7.0,2.9,6.2,51.0,19.0
2018-2019,Ligue 1,Nîmes,Umut Bozok,TUR,FW,21.0,1235.0,13.7,2.0,3.0,5.0,0.15,0.22,0.36,4.3,2.0,2.7,28.0,9.0
2018-2019,Ligue 1,Saint-Étienne,Rémy Cabella,FRA,"MF,FW",28.0,2997.0,33.3,8.0,4.0,12.0,0.24,0.12,0.36,9.9,5.4,9.1,81.0,24.0
2018-2019,Bundesliga,Freiburg,Lucas Höler,GER,FW,24.0,1006.0,11.2,4.0,0.0,4.0,0.36,0.0,0.36,3.9,0.4,3.9,26.0,11.0
2018-2019,Ligue 1,Reims,Pablo Chavarría,ARG,FW,30.0,1973.0,21.9,5.0,3.0,8.0,0.23,0.14,0.36,5.8,1.6,5.8,43.0,18.0
2018-2019,Ligue 1,Reims,Boulaye Dia,SEN,FW,21.0,747.0,8.3,3.0,0.0,3.0,0.36,0.0,0.36,3.7,0.8,3.7,20.0,9.0
2018-2019,Serie A,Frosinone,Danilo Soddimo,ITA,"MF,FW",30.0,252.0,2.8,0.0,1.0,1.0,0.0,0.36,0.36,0.2,0.8,0.2,6.0,2.0
2018-2019,Premier League,Watford,Ken Sema,SWE,"MF,FW",24.0,754.0,8.4,1.0,2.0,3.0,0.12,0.24,0.36,0.8,0.6,0.8,12.0,3.0
2018-2019,Premier League,Arsenal,Mesut Özil,GER,"MF,FW",29.0,1735.0,19.3,5.0,2.0,7.0,0.26,0.1,0.36,1.7,4.1,1.7,11.0,6.0
2018-2019,Ligue 1,Nîmes,Rachid Alioui,MAR,FW,26.0,1252.0,13.9,5.0,0.0,5.0,0.36,0.0,0.36,5.4,1.2,5.4,52.0,20.0
2018-2019,Ligue 1,Lille,Lebo Mothiba,RSA,FW,22.0,253.0,2.8,1.0,0.0,1.0,0.36,0.0,0.36,0.1,0.1,0.1,1.0,1.0
2018-2019,La Liga,Real Sociedad,Luca Sangalli,ESP,"MF,FW",23.0,999.0,11.1,1.0,3.0,4.0,0.09,0.27,0.36,1.5,1.3,1.5,11.0,5.0
2018-2019,La Liga,Huesca,Enric Gallego,ESP,FW,31.0,1539.0,17.1,5.0,1.0,6.0,0.29,0.06,0.35,4.7,2.1,4.7,32.0,13.0
2018-2019,Ligue 1,Amiens,Ganso,BRA,"MF,FW",28.0,520.0,5.8,0.0,2.0,2.0,0.0,0.35,0.35,0.4,1.1,0.4,3.0,0.0
2018-2019,La Liga,Valladolid,Leonardo Suárez,ARG,"FW,MF",22.0,517.0,5.7,2.0,0.0,2.0,0.35,0.0,0.35,1.3,0.3,1.3,10.0,3.0
2018-2019,Ligue 1,Guingamp,Alexandre Mendy,GNB,FW,24.0,767.0,8.5,3.0,0.0,3.0,0.35,0.0,0.35,3.0,1.0,3.0,22.0,7.0
2018-2019,La Liga,Alavés,Jonathan Calleri,ARG,FW,24.0,2869.0,31.9,9.0,2.0,11.0,0.28,0.06,0.35,8.5,3.6,6.9,78.0,18.0
2018-2019,Bundesliga,Augsburg,André Hahn,GER,"FW,MF",27.0,2052.0,22.8,4.0,4.0,8.0,0.18,0.18,0.35,2.9,4.1,2.9,37.0,14.0
2018-2019,La Liga,Villarreal,Gerard Moreno,ESP,FW,26.0,2315.0,25.7,8.0,1.0,9.0,0.31,0.04,0.35,12.0,3.9,11.2,70.0,32.0
2018-2019,Serie A,Genoa,Antonio Sanabria,PAR,FW,22.0,766.0,8.5,3.0,0.0,3.0,0.35,0.0,0.35,5.1,0.3,4.3,31.0,10.0
2018-2019,Serie A,Bologna,Rodrigo Palacio,ARG,FW,36.0,2329.0,25.9,3.0,6.0,9.0,0.12,0.23,0.35,5.3,4.2,5.3,45.0,19.0
2018-2019,La Liga,Girona,Portu,ESP,"FW,MF",26.0,2821.0,31.3,9.0,2.0,11.0,0.29,0.06,0.35,7.9,4.2,7.1,36.0,17.0
2018-2019,Ligue 1,Bordeaux,Samuel Kalu,NGA,FW,20.0,1281.0,14.2,3.0,2.0,5.0,0.21,0.14,0.35,3.4,4.8,2.6,40.0,14.0
2018-2019,Premier League,Manchester Utd,Juan Mata,ESP,"FW,MF",30.0,1289.0,14.3,3.0,2.0,5.0,0.21,0.14,0.35,1.6,2.9,1.6,19.0,6.0
2018-2019,Ligue 1,Guingamp,Marcus Thuram,FRA,"FW,MF",20.0,2571.0,28.6,9.0,1.0,10.0,0.32,0.04,0.35,10.0,3.0,6.0,57.0,18.0
2018-2019,Bundesliga,Augsburg,Julian Schieber,GER,FW,29.0,258.0,2.9,1.0,0.0,1.0,0.35,0.0,0.35,0.7,0.6,0.7,4.0,1.0
2018-2019,La Liga,Espanyol,Hernán Pérez,PAR,"FW,MF",29.0,795.0,8.8,1.0,2.0,3.0,0.11,0.23,0.34,1.2,2.0,1.2,15.0,6.0
2018-2019,La Liga,Espanyol,Wu Lei,CHN,"FW,MF",26.0,1061.0,11.8,3.0,1.0,4.0,0.25,0.08,0.34,5.1,1.5,5.1,31.0,8.0
2018-2019,Ligue 1,Saint-Étienne,Arnaud Nordin,FRA,"FW,MF",20.0,1050.0,11.7,3.0,1.0,4.0,0.26,0.09,0.34,3.7,2.1,3.7,41.0,18.0
2018-2019,Ligue 1,Reims,Suk Hyun-jun,KOR,FW,27.0,793.0,8.8,3.0,0.0,3.0,0.34,0.0,0.34,3.3,0.5,3.3,21.0,7.0
2018-2019,Ligue 1,Nice,Eddy Sylvestre,FRA,"FW,MF",18.0,266.0,3.0,0.0,1.0,1.0,0.0,0.34,0.34,0.6,0.1,0.6,2.0,1.0
2018-2019,Ligue 1,Saint-Étienne,Lois Diony,FRA,FW,25.0,1591.0,17.7,5.0,1.0,6.0,0.28,0.06,0.34,8.1,1.8,8.1,39.0,18.0
2018-2019,Ligue 1,Nîmes,Denis Bouanga,GAB,"MF,FW",23.0,2633.0,29.3,8.0,2.0,10.0,0.27,0.07,0.34,7.8,3.2,7.8,86.0,32.0
2018-2019,Bundesliga,RB Leipzig,Marcel Halstenberg,GER,"DF,FW",26.0,2414.0,26.8,3.0,6.0,9.0,0.11,0.22,0.34,3.6,7.5,2.0,21.0,8.0
2018-2019,Serie A,Milan,Fabio Borini,ITA,"FW,DF",27.0,1054.0,11.7,2.0,2.0,4.0,0.17,0.17,0.34,2.5,1.2,2.5,30.0,7.0
2018-2019,Ligue 1,Paris S-G,Eric Maxim Choupo-Moting,CMR,FW,29.0,802.0,8.9,3.0,0.0,3.0,0.34,0.0,0.34,4.2,0.3,4.2,25.0,7.0
2018-2019,Serie A,Sassuolo,Federico Di Francesco,ITA,"FW,MF",24.0,1074.0,11.9,2.0,2.0,4.0,0.17,0.17,0.34,3.2,1.1,3.2,25.0,11.0
2018-2019,Bundesliga,Werder Bremen,Yuya Osako,JPN,"FW,MF",28.0,1346.0,15.0,3.0,2.0,5.0,0.2,0.13,0.33,3.4,2.2,3.4,27.0,6.0
2018-2019,Bundesliga,Schalke 04,Daniel Caligiuri,ITA,"DF,FW",30.0,2756.0,30.6,7.0,3.0,10.0,0.23,0.1,0.33,6.5,5.4,1.8,44.0,9.0
2018-2019,Serie A,Sassuolo,Claud Adjapong,ITA,"MF,FW",20.0,270.0,3.0,1.0,0.0,1.0,0.33,0.0,0.33,0.7,0.1,0.7,2.0,1.0
2018-2019,Serie A,Chievo,Valter Birsa,SVN,"MF,FW",31.0,1101.0,12.2,2.0,2.0,4.0,0.16,0.16,0.33,1.7,2.2,0.9,15.0,4.0
2018-2019,Serie A,Empoli,Antonino La Gumina,ITA,"FW,MF",22.0,1090.0,12.1,2.0,2.0,4.0,0.17,0.17,0.33,4.3,0.7,4.3,26.0,9.0
2018-2019,Bundesliga,Nürnberg,Mikael Ishak,SWE,FW,25.0,1917.0,21.3,4.0,3.0,7.0,0.19,0.14,0.33,4.5,2.1,3.8,37.0,13.0
2018-2019,La Liga,Betis,Junior Firpo,ESP,"DF,FW",21.0,1937.0,21.5,3.0,4.0,7.0,0.14,0.19,0.33,2.2,2.2,2.2,19.0,7.0
2018-2019,Ligue 1,Caen,Casimir Ninga,CHA,"FW,MF",25.0,2468.0,27.4,6.0,3.0,9.0,0.22,0.11,0.33,5.6,2.5,4.8,52.0,17.0
2018-2019,La Liga,Girona,Seydou Doumbia,CIV,FW,30.0,541.0,6.0,2.0,0.0,2.0,0.33,0.0,0.33,2.7,0.0,2.7,15.0,9.0
2018-2019,Bundesliga,M'Gladbach,Ibrahima Traoré,GUI,"FW,MF",30.0,552.0,6.1,0.0,2.0,2.0,0.0,0.33,0.33,0.8,2.7,0.8,15.0,5.0
2018-2019,Serie A,Udinese,Ignacio Pussetto,ARG,"FW,MF",22.0,2178.0,24.2,4.0,4.0,8.0,0.17,0.17,0.33,5.9,2.3,5.9,57.0,18.0
2018-2019,Premier League,Fulham,André Schürrle,GER,"FW,MF",27.0,1641.0,18.2,6.0,0.0,6.0,0.33,0.0,0.33,3.6,1.9,3.6,55.0,17.0
2018-2019,Serie A,Fiorentina,Giovanni Simeone,ARG,FW,23.0,2454.0,27.3,6.0,3.0,9.0,0.22,0.11,0.33,11.2,2.4,11.2,66.0,26.0
2018-2019,La Liga,Celta Vigo,Pione Sisto,DEN,"FW,MF",23.0,844.0,9.4,2.0,1.0,3.0,0.21,0.11,0.32,0.9,1.1,0.9,18.0,8.0
2018-2019,Serie A,Cagliari,João Pedro,ITA,"FW,MF",26.0,2555.0,28.4,7.0,2.0,9.0,0.25,0.07,0.32,8.5,3.5,6.9,60.0,17.0
2018-2019,La Liga,Leganés,Guido Carrillo,ARG,FW,27.0,1992.0,22.1,6.0,1.0,7.0,0.27,0.05,0.32,9.1,1.4,6.7,56.0,18.0
2018-2019,La Liga,Atlético Madrid,Diego Costa,ESP,FW,29.0,1112.0,12.4,2.0,2.0,4.0,0.16,0.16,0.32,1.7,0.9,1.7,16.0,10.0
2018-2019,Premier League,Manchester Utd,Jesse Lingard,ENG,"FW,MF",25.0,1663.0,18.5,4.0,2.0,6.0,0.22,0.11,0.32,4.7,2.7,3.9,31.0,13.0
2018-2019,Ligue 1,Amiens,Serhou Guirassy,GUI,FW,22.0,1111.0,12.3,3.0,1.0,4.0,0.24,0.08,0.32,4.1,1.4,4.1,27.0,9.0
2018-2019,La Liga,Betis,Joaquín,ESP,"FW,MF",37.0,1696.0,18.8,6.0,0.0,6.0,0.32,0.0,0.32,3.2,3.5,3.2,23.0,12.0
2018-2019,Ligue 1,Nantes,Abdul Majeed Waris,GHA,"FW,MF",26.0,2246.0,25.0,5.0,3.0,8.0,0.2,0.12,0.32,5.7,2.6,4.9,39.0,13.0
2018-2019,La Liga,Barcelona,Philippe Coutinho,BRA,"FW,MF",26.0,2018.0,22.4,5.0,2.0,7.0,0.22,0.09,0.31,7.4,3.7,7.4,68.0,31.0
